id,name,type,enabled,origin
100002,BB:DeviceDefinition: Devices to Monitor for High Event Rates,EVENT,True,SYSTEM
100004,BB:CategoryDefinition: Successful Database Connections,EVENT,True,SYSTEM
100005,BB:CategoryDefinition: Authentication Success,EVENT,True,SYSTEM
100007,BB:HostDefinition: Servers,COMMON,True,SYSTEM
100008,BB:HostDefinition: Database Servers,COMMON,True,SYSTEM
100009,BB:PortDefinition: Database Ports,COMMON,True,SYSTEM
100010,BB:HostDefinition: DHCP Servers,COMMON,True,SYSTEM
100011,BB:PortDefinition: DHCP Ports,COMMON,True,SYSTEM
100012,BB:HostDefinition: DNS Servers,COMMON,True,SYSTEM
100013,BB:PortDefinition: DNS Ports,COMMON,True,SYSTEM
100014,BB:HostDefinition: FTP Servers,COMMON,True,SYSTEM
100015,BB:PortDefinition: FTP Ports,COMMON,True,SYSTEM
100016,BB:HostDefinition: LDAP Servers,COMMON,True,SYSTEM
100017,BB:PortDefinition: LDAP Ports,COMMON,True,SYSTEM
100018,BB:HostDefinition: Mail Servers,COMMON,True,SYSTEM
100019,BB:PortDefinition: Mail Ports,COMMON,True,SYSTEM
100020,BB:HostDefinition: Network Management Servers,COMMON,True,SYSTEM
100021,BB:HostDefinition: Proxy Servers,COMMON,True,SYSTEM
100022,BB:HostDefinition: RPC Servers,COMMON,True,SYSTEM
100023,BB:PortDefinition: RPC Ports,COMMON,True,SYSTEM
100024,BB:HostDefinition: SNMP Sender or Receiver,COMMON,True,SYSTEM
100025,BB:PortDefinition: SNMP Ports,COMMON,True,SYSTEM
100026,BB:HostDefinition: SSH Servers,COMMON,True,SYSTEM
100027,BB:PortDefinition: SSH Ports,COMMON,True,SYSTEM
100028,BB:HostDefinition: Virus Definition and Other Update Servers,COMMON,True,SYSTEM
100029,BB:HostDefinition: Web Servers,COMMON,True,SYSTEM
100030,BB:PortDefinition: Web Ports,COMMON,True,SYSTEM
100031,BB:HostDefinition: Windows Servers,COMMON,True,SYSTEM
100032,BB:PortDefinition: Windows Ports,COMMON,True,SYSTEM
100033,BB:ProtocolDefinition: Windows Protocols,COMMON,True,SYSTEM
100034,BB:HostReference: Database Servers,COMMON,True,SYSTEM
100035,BB:HostReference: DHCP Servers,COMMON,True,SYSTEM
100036,BB:HostReference: DNS Servers,COMMON,True,SYSTEM
100037,BB:HostReference: FTP Servers,COMMON,True,SYSTEM
100038,BB:HostReference: LDAP Servers,COMMON,True,SYSTEM
100039,BB:HostReference: Mail Servers,COMMON,True,SYSTEM
100040,BB:HostReference: Proxy Servers,COMMON,True,SYSTEM
100041,BB:HostReference: SSH Servers,COMMON,True,SYSTEM
100042,BB:HostReference: Web Servers,COMMON,True,SYSTEM
100043,BB:HostReference: Windows Servers,COMMON,True,SYSTEM
100058,BB:CategoryDefinition: Authentication to Disabled Account,EVENT,True,SYSTEM
100060,BB:CategoryDefinition: Authentication to Expired Account,EVENT,True,SYSTEM
100063,BB:CategoryDefinition: Authentication Failures,EVENT,True,SYSTEM
100073,BB:CategoryDefinition: DDoS Attack Events,EVENT,True,SYSTEM
100075,BB:CategoryDefinition: High Magnitude Events,EVENT,True,SYSTEM
100080,BB:CategoryDefinition: Network DoS Attack,EVENT,True,SYSTEM
100083,BB:HostDefinition: Host with Port Open,COMMON,True,SYSTEM
100087,BB:Database: System Action Deny,EVENT,True,SYSTEM
100088,BB:Database: User Addition or Change,EVENT,True,SYSTEM
100091,BB:Database: System Action Allow,EVENT,True,SYSTEM
100097,BB:BehaviorDefinition: Compromise Activities,EVENT,True,SYSTEM
100098,BB:BehaviorDefinition: Post Compromise Activities,EVENT,True,SYSTEM
100099,BB:CategoryDefinition: Authentication User or Group Added or Changed,EVENT,True,SYSTEM
100101,BB:NetworkDefinition: Honeypot like Addresses,COMMON,True,SYSTEM
100103,BB:CategoryDefinition: Firewall or ACL Accept,EVENT,True,SYSTEM
100104,BB:CategoryDefinition: Firewall or ACL Denies,EVENT,True,SYSTEM
100105,BB:CategoryDefinition: Any Flow,FLOW,True,SYSTEM
100107,BB:ReconDetected: Basic Recon Rules,COMMON,True,SYSTEM
100118,BB:CategoryDefinition: Exploits Backdoors and Trojans,EVENT,True,SYSTEM
100119,BB:CategoryDefinition: Post Exploit Account Activity,EVENT,True,SYSTEM
100126,BB:FalsePositive: All Default False Positive BBs,COMMON,True,SYSTEM
100127,BB:FalsePositive: Database Server False Positive Categories,COMMON,True,SYSTEM
100128,BB:FalsePositive: Database Server False Positive Events,EVENT,True,SYSTEM
100129,BB:FalsePositive: Device and Specific Event,EVENT,True,SYSTEM
100130,BB:FalsePositive: DHCP Server False Positive Categories,COMMON,True,SYSTEM
100131,BB:CategoryDefinition: Recon Events,COMMON,True,SYSTEM
100132,BB:CategoryDefinition: Recon Event Categories,EVENT,True,SYSTEM
100133,BB:CategoryDefinition: Recon Flows,FLOW,True,SYSTEM
100134,BB:Threats: Scanning: Empty Responsive Flows High,FLOW,True,SYSTEM
100135,BB:Threats: Scanning: Empty Responsive Flows Low,FLOW,True,SYSTEM
100136,BB:Threats: Scanning: Empty Responsive Flows Medium,FLOW,True,SYSTEM
100137,BB:Threats: Scanning: ICMP Scan High,FLOW,True,SYSTEM
