sysmon_hostname (custom),Custom Rule,Log Source Time (Minimum),Count
"N/A","100227","Jul 29, 2025, 3:00:00 PM","209580.0"
"N/A","100221","Jul 29, 2025, 3:00:00 PM","209580.0"
"N/A","100272","Jul 29, 2025, 3:00:00 PM","209202.0"
"N/A","100277","Jul 29, 2025, 3:00:00 PM","209200.0"
"N/A","100101","Jul 29, 2025, 3:00:00 PM","209098.0"
"N/A","100216","Jul 29, 2025, 3:00:00 PM","209095.0"
"DESKTOP-64-EDR","100227","Jul 29, 2025, 3:00:30 PM","2115.0"
"DESKTOP-64-EDR","100221","Jul 29, 2025, 3:00:30 PM","2115.0"
"DESKTOP-64-EDR","100265","Jul 29, 2025, 3:00:30 PM","2112.0"
"DESKTOP-64-EDR","100225","Jul 29, 2025, 3:00:30 PM","2102.0"
"DESKTOP-64-EDR","100215","Jul 29, 2025, 3:00:30 PM","1901.0"
"DESKTOP-64-EDR","100218","Jul 29, 2025, 3:00:30 PM","1897.0"
"DESKTOP-64-EDR","100272","Jul 29, 2025, 3:00:30 PM","1331.0"
"DESKTOP-64-EDR","100276","Jul 29, 2025, 3:00:45 PM","1084.0"
"192.168.153.166","100227","Jul 29, 2025, 3:00:45 PM","410.0"
"192.168.153.166","100215","Jul 29, 2025, 3:00:45 PM","410.0"
"192.168.153.166","100225","Jul 29, 2025, 3:00:45 PM","410.0"
"192.168.153.166","100221","Jul 29, 2025, 3:00:45 PM","410.0"
"192.168.153.166","100218","Jul 29, 2025, 3:00:45 PM","410.0"
"DESKTOP-64-EDR","100601","Jul 29, 2025, 3:00:45 PM","409.0"
"DESKTOP-64-EDR","100560","Jul 29, 2025, 3:00:45 PM","409.0"
"192.168.153.166","100265","Jul 29, 2025, 3:00:45 PM","409.0"
"N/A","100215","Jul 29, 2025, 3:00:04 PM","380.0"
"DESKTOP-64-EDR","100395","Jul 29, 2025, 3:00:30 PM","247.0"
"DESKTOP-64-EDR","100103","Jul 29, 2025, 3:00:30 PM","247.0"
"DESKTOP-64-EDR","100216","Jul 29, 2025, 3:00:30 PM","201.0"
"DESKTOP-64-EDR","100297","Jul 29, 2025, 3:00:30 PM","193.0"
"192.168.153.166","100272","Jul 29, 2025, 3:00:45 PM","192.0"
"DESKTOP-64-EDR","100030","Jul 29, 2025, 3:00:30 PM","154.0"
"192.168.153.166","100005","Jul 29, 2025, 3:00:45 PM","136.0"
"N/A","100223","Jul 29, 2025, 3:01:03 PM","105.0"
"N/A","100217","Jul 29, 2025, 3:04:38 PM","102.0"
"DESKTOP-64-EDR","100277","Jul 29, 2025, 3:00:30 PM","58.0"
"192.168.153.166","100119","Jul 29, 2025, 3:00:45 PM","58.0"
"DESKTOP-64-EDR","100425","Jul 29, 2025, 3:03:57 PM","57.0"
"192.168.153.166","100273","Jul 29, 2025, 3:07:41 PM","52.0"
"DESKTOP-64-EDR","100101","Jul 29, 2025, 3:00:30 PM","50.0"
"DESKTOP-64-EDR","100013","Jul 29, 2025, 3:04:42 PM","39.0"
"DESKTOP-64-EDR","100711","Jul 29, 2025, 3:04:41 PM","33.0"
"DESKTOP-64-EDR","100712","Jul 29, 2025, 3:04:41 PM","32.0"
"DESKTOP-64-EDR","100702","Jul 29, 2025, 3:04:34 PM","26.0"
"N/A","100271","Jul 29, 2025, 3:01:24 PM","23.0"
"DESKTOP-64-EDR","100223","Jul 29, 2025, 3:01:53 PM","13.0"
"DESKTOP-64-EDR","100526","Jul 29, 2025, 3:05:08 PM","9.0"
"DESKTOP-64-EDR","100217","Jul 29, 2025, 3:01:53 PM","8.0"
"N/A","100225","Jul 29, 2025, 3:01:04 PM","8.0"
"DESKTOP-64-EDR","100196","Jul 29, 2025, 3:01:05 PM","6.0"
"192.168.153.166","100276","Jul 29, 2025, 3:07:33 PM","4.0"
"DESKTOP-64-EDR","100633","Jul 29, 2025, 3:08:31 PM","2.0"
"192.168.153.166","100619","Jul 29, 2025, 3:05:45 PM","2.0"
"N/A","100218","Jul 29, 2025, 3:08:34 PM","2.0"
"N/A","100104","Jul 29, 2025, 3:08:34 PM","2.0"
"DESKTOP-64-EDR","100714","Jul 29, 2025, 3:03:56 PM","1.0"
"DESKTOP-64-EDR","100630","Jul 29, 2025, 3:08:31 PM","1.0"
"DESKTOP-64-EDR","100625","Jul 29, 2025, 3:08:30 PM","1.0"
"DESKTOP-64-EDR","100607","Jul 29, 2025, 3:03:56 PM","1.0"
"DESKTOP-64-EDR","100520","Jul 29, 2025, 3:08:30 PM","1.0"
"DESKTOP-64-EDR","100518","Jul 29, 2025, 3:08:30 PM","1.0"
"N/A","100520","Jul 29, 2025, 3:08:34 PM","1.0"
"N/A","100518","Jul 29, 2025, 3:08:34 PM","1.0"
