sysmon_hostname (custom),Custom Rule,Log Source Time (Minimum),Count
"192.168.153.166","100265","Aug 08, 2025, 10:08:53 AM","1492.0"
"192.168.153.166","100215","Aug 08, 2025, 10:08:53 AM","1492.0"
"192.168.153.166","100221","Aug 08, 2025, 10:08:53 AM","1492.0"
"192.168.153.166","100218","Aug 08, 2025, 10:08:53 AM","1492.0"
"192.168.153.166","100227","Aug 08, 2025, 10:08:53 AM","1492.0"
"192.168.153.166","100225","Aug 08, 2025, 10:08:53 AM","1492.0"
"192.168.153.166","100272","Aug 08, 2025, 10:08:53 AM","1491.0"
"192.168.153.166","100005","Aug 08, 2025, 10:08:53 AM","1071.0"
"DESKTOP-64-EDR","100221","Aug 08, 2025, 10:08:47 AM","990.0"
"DESKTOP-64-EDR","100227","Aug 08, 2025, 10:08:47 AM","990.0"
"DESKTOP-64-EDR","100225","Aug 08, 2025, 10:08:47 AM","990.0"
"DESKTOP-64-EDR","100265","Aug 08, 2025, 10:08:47 AM","985.0"
"DESKTOP-64-EDR","100215","Aug 08, 2025, 10:08:47 AM","973.0"
"DESKTOP-64-EDR","100218","Aug 08, 2025, 10:08:47 AM","972.0"
"DESKTOP-64-EDR","100272","Aug 08, 2025, 10:08:47 AM","517.0"
"192.168.153.166","100119","Aug 08, 2025, 10:08:53 AM","429.0"
"DESKTOP-64-EDR","100634","Aug 08, 2025, 10:09:38 AM","426.0"
"192.168.153.166","100273","Aug 08, 2025, 10:09:21 AM","420.0"
"N/A","100227","Aug 08, 2025, 10:09:52 AM","348.0"
"N/A","100221","Aug 08, 2025, 10:09:52 AM","348.0"
"N/A","100225","Aug 08, 2025, 10:09:52 AM","347.0"
"N/A","100215","Aug 08, 2025, 10:09:52 AM","347.0"
"N/A","100218","Aug 08, 2025, 10:09:52 AM","346.0"
"DESKTOP-64-EDR","100097","Aug 08, 2025, 10:09:38 AM","262.0"
"DESKTOP-64-EDR","100118","Aug 08, 2025, 10:09:38 AM","262.0"
"DESKTOP-64-EDR","100276","Aug 08, 2025, 10:08:47 AM","237.0"
"DESKTOP-64-EDR","100601","Aug 08, 2025, 10:08:47 AM","193.0"
"DESKTOP-64-EDR","100560","Aug 08, 2025, 10:08:47 AM","191.0"
"DESKTOP-64-EDR","100425","Aug 08, 2025, 10:09:21 AM","42.0"
"DESKTOP-64-EDR","100712","Aug 08, 2025, 10:09:37 AM","32.0"
"DESKTOP-64-EDR","100711","Aug 08, 2025, 10:09:37 AM","32.0"
"DESKTOP-64-EDR","100717","Aug 08, 2025, 10:09:26 AM","22.0"
"DESKTOP-64-EDR","100395","Aug 08, 2025, 10:09:29 AM","18.0"
"DESKTOP-64-EDR","100103","Aug 08, 2025, 10:09:29 AM","18.0"
"DESKTOP-64-EDR","100297","Aug 08, 2025, 10:09:29 AM","17.0"
"DESKTOP-64-EDR","100216","Aug 08, 2025, 10:09:29 AM","17.0"
"DESKTOP-64-EDR","100030","Aug 08, 2025, 10:09:29 AM","14.0"
"DESKTOP-64-EDR","100702","Aug 08, 2025, 10:09:19 AM","13.0"
"N/A","100272","Aug 08, 2025, 10:09:52 AM","12.0"
"N/A","100117","Aug 08, 2025, 10:09:52 AM","11.0"
"N/A","100097","Aug 08, 2025, 10:09:52 AM","11.0"
"192.168.153.166","100117","Aug 08, 2025, 10:09:41 AM","11.0"
"DESKTOP-64-EDR","100607","Aug 08, 2025, 10:09:26 AM","10.0"
"DESKTOP-64-EDR","100636","Aug 08, 2025, 10:09:38 AM","10.0"
"DESKTOP-64-EDR","100277","Aug 08, 2025, 10:11:47 AM","4.0"
"DESKTOP-64-EDR","100101","Aug 08, 2025, 10:11:47 AM","4.0"
"DESKTOP-64-EDR","100013","Aug 08, 2025, 10:11:46 AM","3.0"
"N/A","100277","Aug 08, 2025, 10:17:34 AM","1.0"
"N/A","100223","Aug 08, 2025, 10:17:34 AM","1.0"
"DESKTOP-64-EDR","100421","Aug 08, 2025, 10:10:26 AM","1.0"
"DESKTOP-64-EDR","100402","Aug 08, 2025, 10:10:26 AM","1.0"
"N/A","100101","Aug 08, 2025, 10:17:34 AM","1.0"
"DESKTOP-64-EDR","100578","Aug 08, 2025, 10:09:38 AM","1.0"
"DESKTOP-64-EDR","100563","Aug 08, 2025, 10:10:26 AM","1.0"
"DESKTOP-64-EDR","100196","Aug 08, 2025, 10:13:19 AM","1.0"
"N/A","100421","Aug 08, 2025, 10:10:33 AM","1.0"
"N/A","100402","Aug 08, 2025, 10:10:33 AM","1.0"
