sysmon_hostname (custom),Custom Rule,Log Source Time (Minimum),Count
"192.168.153.166","100215","Aug 08, 2025, 9:33:39 AM","1650.0"
"192.168.153.166","100221","Aug 08, 2025, 9:33:39 AM","1650.0"
"192.168.153.166","100218","Aug 08, 2025, 9:33:39 AM","1650.0"
"192.168.153.166","100227","Aug 08, 2025, 9:33:39 AM","1650.0"
"192.168.153.166","100225","Aug 08, 2025, 9:33:39 AM","1650.0"
"192.168.153.166","100265","Aug 08, 2025, 9:33:39 AM","1649.0"
"192.168.153.166","100272","Aug 08, 2025, 9:33:39 AM","1584.0"
"192.168.153.166","100005","Aug 08, 2025, 9:33:39 AM","1128.0"
"DESKTOP-64-EDR","100221","Aug 08, 2025, 9:33:38 AM","836.0"
"DESKTOP-64-EDR","100227","Aug 08, 2025, 9:33:38 AM","836.0"
"DESKTOP-64-EDR","100225","Aug 08, 2025, 9:33:38 AM","836.0"
"DESKTOP-64-EDR","100265","Aug 08, 2025, 9:33:38 AM","834.0"
"DESKTOP-64-EDR","100215","Aug 08, 2025, 9:33:38 AM","819.0"
"DESKTOP-64-EDR","100218","Aug 08, 2025, 9:33:38 AM","818.0"
"192.168.153.166","100273","Aug 08, 2025, 9:33:41 AM","456.0"
"192.168.153.166","100119","Aug 08, 2025, 9:33:39 AM","453.0"
"DESKTOP-64-EDR","100272","Aug 08, 2025, 9:33:38 AM","337.0"
"DESKTOP-64-EDR","100276","Aug 08, 2025, 9:33:38 AM","285.0"
"DESKTOP-64-EDR","100601","Aug 08, 2025, 9:33:38 AM","238.0"
"DESKTOP-64-EDR","100560","Aug 08, 2025, 9:33:38 AM","238.0"
"DESKTOP-64-EDR","100425","Aug 08, 2025, 9:33:39 AM","69.0"
"DESKTOP-64-EDR","100634","Aug 08, 2025, 9:33:40 AM","66.0"
"DESKTOP-64-EDR","100702","Aug 08, 2025, 9:33:40 AM","49.0"
"DESKTOP-64-EDR","100097","Aug 08, 2025, 9:33:41 AM","34.0"
"DESKTOP-64-EDR","100118","Aug 08, 2025, 9:33:41 AM","34.0"
"DESKTOP-64-EDR","100717","Aug 08, 2025, 9:33:40 AM","31.0"
"DESKTOP-64-EDR","100712","Aug 08, 2025, 9:33:40 AM","28.0"
"DESKTOP-64-EDR","100711","Aug 08, 2025, 9:33:40 AM","28.0"
"N/A","100227","Aug 08, 2025, 9:34:00 AM","23.0"
"N/A","100225","Aug 08, 2025, 9:34:00 AM","23.0"
"N/A","100221","Aug 08, 2025, 9:34:00 AM","23.0"
"N/A","100215","Aug 08, 2025, 9:34:00 AM","23.0"
"N/A","100218","Aug 08, 2025, 9:34:00 AM","22.0"
"DESKTOP-64-EDR","100607","Aug 08, 2025, 9:33:52 AM","19.0"
"DESKTOP-64-EDR","100395","Aug 08, 2025, 9:34:03 AM","18.0"
"DESKTOP-64-EDR","100103","Aug 08, 2025, 9:34:03 AM","18.0"
"DESKTOP-64-EDR","100297","Aug 08, 2025, 9:34:03 AM","17.0"
"DESKTOP-64-EDR","100216","Aug 08, 2025, 9:34:03 AM","17.0"
"N/A","100272","Aug 08, 2025, 9:34:00 AM","16.0"
"DESKTOP-64-EDR","100030","Aug 08, 2025, 9:34:03 AM","14.0"
"N/A","100117","Aug 08, 2025, 9:34:00 AM","11.0"
"N/A","100097","Aug 08, 2025, 9:34:00 AM","11.0"
"192.168.153.166","100117","Aug 08, 2025, 9:33:40 AM","11.0"
"192.168.153.166","100619","Aug 08, 2025, 9:33:41 AM","5.0"
"DESKTOP-64-EDR","100633","Aug 08, 2025, 9:38:50 AM","5.0"
"DESKTOP-64-EDR","100277","Aug 08, 2025, 9:34:40 AM","4.0"
"N/A","100104","Aug 08, 2025, 9:39:02 AM","4.0"
"DESKTOP-64-EDR","100101","Aug 08, 2025, 9:34:40 AM","4.0"
"DESKTOP-64-EDR","100013","Aug 08, 2025, 9:34:40 AM","3.0"
"DESKTOP-64-EDR","100389","Aug 08, 2025, 9:33:42 AM","2.0"
"DESKTOP-64-EDR","100625","Aug 08, 2025, 9:38:50 AM","2.0"
"DESKTOP-64-EDR","100518","Aug 08, 2025, 9:38:50 AM","2.0"
"DESKTOP-64-EDR","100520","Aug 08, 2025, 9:38:50 AM","2.0"
"N/A","100520","Aug 08, 2025, 9:39:02 AM","2.0"
"N/A","100518","Aug 08, 2025, 9:39:02 AM","2.0"
"DESKTOP-64-EDR","100630","Aug 08, 2025, 9:38:50 AM","2.0"
"DESKTOP-64-EDR","100421","Aug 08, 2025, 9:35:27 AM","1.0"
"DESKTOP-64-EDR","100402","Aug 08, 2025, 9:35:27 AM","1.0"
"N/A","100164","Aug 08, 2025, 9:36:09 AM","1.0"
"N/A","100146","Aug 08, 2025, 9:36:09 AM","1.0"
"192.168.153.166","100455","Aug 08, 2025, 9:35:57 AM","1.0"
"192.168.153.166","100456","Aug 08, 2025, 9:35:57 AM","1.0"
"DESKTOP-64-EDR","100196","Aug 08, 2025, 9:38:15 AM","1.0"
"N/A","100456","Aug 08, 2025, 9:36:09 AM","1.0"
"N/A","100421","Aug 08, 2025, 9:35:37 AM","1.0"
"N/A","100402","Aug 08, 2025, 9:35:37 AM","1.0"
"DESKTOP-64-EDR","100627","Aug 08, 2025, 9:33:42 AM","1.0"
