sysmon_hostname (custom),Custom Rule,Log Source Time (Minimum),Count
"N/A","Destination Asset Weight is Low","Aug 6, 2025, 10:30:00 PM","210,422"
"N/A","Source Asset Weight is Low","Aug 6, 2025, 10:30:00 PM","210,422"
"N/A","Load Basic Building Blocks","Aug 6, 2025, 10:30:00 PM","210,051"
"N/A","BB:NetworkDefinition: Darknet Addresses","Aug 6, 2025, 10:30:00 PM","210,051"
"N/A","BB:NetworkDefinition: Honeypot like Addresses","Aug 6, 2025, 10:30:00 PM","210,023"
"N/A","Context is Local to Remote","Aug 6, 2025, 10:30:00 PM","210,021"
"192.168.153.166","BB:DeviceDefinition: Operating System","Aug 6, 2025, 10:30:01 PM","1,975"
"192.168.153.166","Destination Asset Exists","Aug 6, 2025, 10:30:01 PM","1,975"
"192.168.153.166","Destination Asset Weight is Low","Aug 6, 2025, 10:30:01 PM","1,975"
"192.168.153.166","Source Asset Exists","Aug 6, 2025, 10:30:01 PM","1,975"
"192.168.153.166","Context is Local to Local","Aug 6, 2025, 10:30:01 PM","1,975"
"192.168.153.166","Source Asset Weight is Low","Aug 6, 2025, 10:30:01 PM","1,975"
"192.168.153.166","Load Basic Building Blocks","Aug 6, 2025, 10:30:01 PM","1,934"
"192.168.153.166","BB:CategoryDefinition: Authentication Success","Aug 6, 2025, 10:30:01 PM","1,386"
"192.168.153.166","BB:CategoryDefinition: Post Exploit Account Activity","Aug 6, 2025, 10:30:01 PM","556"
"192.168.153.166","BB:CategoryDefinition: Logout Events","Aug 6, 2025, 10:31:10 PM","548"
"DESKTOP-64-EDR","Destination Asset Weight is Low","Aug 6, 2025, 10:29:56 PM","414"
"DESKTOP-64-EDR","Source Asset Weight is Low","Aug 6, 2025, 10:29:56 PM","414"
"DESKTOP-64-EDR","BB:DeviceDefinition: Operating System","Aug 6, 2025, 10:29:56 PM","414"
"DESKTOP-64-EDR","Source Asset Exists","Aug 6, 2025, 10:29:56 PM","412"
"DESKTOP-64-EDR","Context is Local to Local","Aug 6, 2025, 10:29:56 PM","379"
"DESKTOP-64-EDR","Destination Asset Exists","Aug 6, 2025, 10:29:56 PM","373"
"N/A","Context is Local to Local","Aug 6, 2025, 10:30:26 PM","371"
"DESKTOP-64-EDR","Load Basic Building Blocks","Aug 6, 2025, 10:29:56 PM","307"
"DESKTOP-64-EDR","BB:CategoryDefinition: System Configuration","Aug 6, 2025, 10:29:56 PM","266"
"DESKTOP-64-EDR","BB:BehaviorDefinition: Multiple File Deletions on Endpoint System","Aug 6, 2025, 10:29:56 PM","265"
"DESKTOP-64-EDR","BB:BehaviorDefinition: Regular Endpoint Administration","Aug 6, 2025, 10:29:56 PM","265"
"DESKTOP-64-EDR","BB:CategoryDefinition: Firewall or ACL Accept","Aug 6, 2025, 10:31:54 PM","41"
"DESKTOP-64-EDR","BB:Host Definition: Sysmon detected Network Connection","Aug 6, 2025, 10:31:54 PM","41"
"DESKTOP-64-EDR","Context is Local to Remote","Aug 6, 2025, 10:31:54 PM","33"
"DESKTOP-64-EDR","BB:PortDefinition: Authorized L2R Ports","Aug 6, 2025, 10:31:54 PM","33"
"N/A","Source Address is a Bogon IP","Aug 6, 2025, 10:32:36 PM","30"
"N/A","Context is Remote to Local","Aug 6, 2025, 10:39:31 PM","28"
"DESKTOP-64-EDR","BB:PortDefinition: Web Ports","Aug 6, 2025, 10:31:55 PM","23"
"DESKTOP-64-EDR","BB:NetworkDefinition: Darknet Addresses","Aug 6, 2025, 10:31:55 PM","15"
"DESKTOP-64-EDR","BB:NetworkDefinition: Honeypot like Addresses","Aug 6, 2025, 10:31:55 PM","13"
"DESKTOP-64-EDR","BB:CategoryDefinition: Elevated Process (Windows)","Aug 6, 2025, 10:38:05 PM","10"
"DESKTOP-64-EDR","BB:PortDefinition: DNS Ports","Aug 6, 2025, 10:31:54 PM","10"
"N/A","Source Asset Exists","Aug 6, 2025, 10:33:14 PM","6"
"DESKTOP-64-EDR","BB:PortDefinition: Syslog Ports","Aug 6, 2025, 10:33:16 PM","6"
"DESKTOP-64-EDR","Source Address is a Bogon IP","Aug 6, 2025, 10:43:12 PM","2"
"DESKTOP-64-EDR","Context is Remote to Local","Aug 6, 2025, 10:43:12 PM","2"
