sysmon_hostname (custom),Custom Rule,Log Source Time (Minimum),Count
"N/A","Destination Asset Weight is Low","Aug 6, 2025, 10:00:00 PM","210,527"
"N/A","Source Asset Weight is Low","Aug 6, 2025, 10:00:00 PM","210,527"
"N/A","Load Basic Building Blocks","Aug 6, 2025, 10:00:00 PM","210,160"
"N/A","BB:NetworkDefinition: Darknet Addresses","Aug 6, 2025, 10:00:00 PM","210,156"
"N/A","BB:NetworkDefinition: Honeypot like Addresses","Aug 6, 2025, 10:00:00 PM","210,130"
"N/A","Context is Local to Remote","Aug 6, 2025, 10:00:00 PM","210,127"
"192.168.153.166","BB:DeviceDefinition: Operating System","Aug 6, 2025, 9:59:54 PM","2,134"
"192.168.153.166","Destination Asset Exists","Aug 6, 2025, 9:59:54 PM","2,134"
"192.168.153.166","Destination Asset Weight is Low","Aug 6, 2025, 9:59:54 PM","2,134"
"192.168.153.166","Source Asset Exists","Aug 6, 2025, 9:59:54 PM","2,134"
"192.168.153.166","Context is Local to Local","Aug 6, 2025, 9:59:54 PM","2,134"
"192.168.153.166","Source Asset Weight is Low","Aug 6, 2025, 9:59:54 PM","2,134"
"192.168.153.166","Load Basic Building Blocks","Aug 6, 2025, 9:59:54 PM","2,089"
"192.168.153.166","BB:CategoryDefinition: Authentication Success","Aug 6, 2025, 9:59:54 PM","1,503"
"DESKTOP-64-EDR","Destination Asset Weight is Low","Aug 6, 2025, 9:59:50 PM","776"
"DESKTOP-64-EDR","Source Asset Weight is Low","Aug 6, 2025, 9:59:50 PM","776"
"DESKTOP-64-EDR","BB:DeviceDefinition: Operating System","Aug 6, 2025, 9:59:50 PM","775"
"DESKTOP-64-EDR","Source Asset Exists","Aug 6, 2025, 9:59:50 PM","774"
"DESKTOP-64-EDR","Context is Local to Local","Aug 6, 2025, 9:59:50 PM","721"
"DESKTOP-64-EDR","Destination Asset Exists","Aug 6, 2025, 9:59:50 PM","715"
"192.168.153.166","BB:CategoryDefinition: Post Exploit Account Activity","Aug 6, 2025, 9:59:54 PM","603"
"192.168.153.166","BB:CategoryDefinition: Logout Events","Aug 6, 2025, 10:01:04 PM","586"
"DESKTOP-64-EDR","Load Basic Building Blocks","Aug 6, 2025, 9:59:50 PM","547"
"DESKTOP-64-EDR","BB:CategoryDefinition: System Configuration","Aug 6, 2025, 9:59:50 PM","485"
"DESKTOP-64-EDR","BB:BehaviorDefinition: Multiple File Deletions on Endpoint System","Aug 6, 2025, 9:59:50 PM","472"
"DESKTOP-64-EDR","BB:BehaviorDefinition: Regular Endpoint Administration","Aug 6, 2025, 9:59:50 PM","472"
"N/A","Context is Local to Local","Aug 6, 2025, 10:00:03 PM","371"
"DESKTOP-64-EDR","BB:CategoryDefinition: Firewall or ACL Accept","Aug 6, 2025, 10:00:02 PM","62"
"DESKTOP-64-EDR","BB:Host Definition: Sysmon detected Network Connection","Aug 6, 2025, 10:00:02 PM","62"
"DESKTOP-64-EDR","Context is Local to Remote","Aug 6, 2025, 10:00:02 PM","53"
"DESKTOP-64-EDR","BB:PortDefinition: Authorized L2R Ports","Aug 6, 2025, 10:00:02 PM","53"
"DESKTOP-64-EDR","BB:CategoryDefinition: Elevated Process (Windows)","Aug 6, 2025, 9:59:55 PM","41"
"DESKTOP-64-EDR","BB:PortDefinition: Web Ports","Aug 6, 2025, 10:00:02 PM","37"
"DESKTOP-64-EDR","BB:CategoryDefinition: Pipe Creation","Aug 6, 2025, 9:59:57 PM","30"
"N/A","Source Address is a Bogon IP","Aug 6, 2025, 10:01:03 PM","29"
"N/A","Context is Remote to Local","Aug 6, 2025, 10:08:20 PM","26"
"DESKTOP-64-EDR","BB:NetworkDefinition: Darknet Addresses","Aug 6, 2025, 10:01:39 PM","17"
"DESKTOP-64-EDR","BB:PortDefinition: DNS Ports","Aug 6, 2025, 10:01:39 PM","16"
"DESKTOP-64-EDR","BB:NetworkDefinition: Honeypot like Addresses","Aug 6, 2025, 10:01:39 PM","15"
"N/A","Source Asset Exists","Aug 6, 2025, 10:03:11 PM","10"
"DESKTOP-64-EDR","BB:BehaviorDefinition: Critical Process Created","Aug 6, 2025, 10:00:03 PM","7"
"DESKTOP-64-EDR","BB:PortDefinition: Syslog Ports","Aug 6, 2025, 10:03:13 PM","6"
"N/A","BB:CategoryDefinition: Firewall or ACL Denies","Aug 6, 2025, 10:06:04 PM","4"
"N/A","Destination Asset Exists","Aug 6, 2025, 10:06:04 PM","4"
"DESKTOP-64-EDR","BOC_312_Several_Enumeration Command Detected","Aug 6, 2025, 10:05:59 PM","4"
"N/A","BOC_331_Windows_Sysmon_Command_whoami","Aug 6, 2025, 10:06:04 PM","2"
"N/A","211-2_Windows_Sysmon_Command_whoami","Aug 6, 2025, 10:06:04 PM","2"
"DESKTOP-64-EDR","BOC_331_Windows_Sysmon_Command_whoami","Aug 6, 2025, 10:05:58 PM","2"
"DESKTOP-64-EDR","211-2_Windows_Sysmon_Command_whoami","Aug 6, 2025, 10:05:58 PM","2"
"DESKTOP-64-EDR","BB:Host Definition: whoami.exe Detected","Aug 6, 2025, 10:05:58 PM","2"
"DESKTOP-64-EDR","BB:Host Definition: net.exe Detected","Aug 6, 2025, 10:05:59 PM","2"
"DESKTOP-64-EDR","Source Address is a Bogon IP","Aug 6, 2025, 10:11:16 PM","2"
"DESKTOP-64-EDR","Context is Remote to Local","Aug 6, 2025, 10:11:16 PM","2"
