sysmon_hostname (custom),Custom Rule,Log Source Time (Minimum),Count
"N/A","100221","Aug 06, 2025, 6:30:00 PM","210492.0"
"N/A","100227","Aug 06, 2025, 6:30:00 PM","210492.0"
"N/A","100272","Aug 06, 2025, 6:30:00 PM","210127.0"
"N/A","100277","Aug 06, 2025, 6:30:00 PM","210127.0"
"N/A","100101","Aug 06, 2025, 6:30:00 PM","210105.0"
"N/A","100216","Aug 06, 2025, 6:30:00 PM","210103.0"
"192.168.153.166","100265","Aug 06, 2025, 6:29:56 PM","2383.0"
"192.168.153.166","100218","Aug 06, 2025, 6:29:56 PM","2383.0"
"192.168.153.166","100221","Aug 06, 2025, 6:29:56 PM","2383.0"
"192.168.153.166","100225","Aug 06, 2025, 6:29:56 PM","2383.0"
"192.168.153.166","100215","Aug 06, 2025, 6:29:56 PM","2383.0"
"192.168.153.166","100227","Aug 06, 2025, 6:29:56 PM","2383.0"
"192.168.153.166","100272","Aug 06, 2025, 6:29:56 PM","2354.0"
"192.168.153.166","100005","Aug 06, 2025, 6:29:56 PM","1684.0"
"DESKTOP-64-EDR","100221","Aug 06, 2025, 6:29:56 PM","834.0"
"DESKTOP-64-EDR","100227","Aug 06, 2025, 6:29:56 PM","834.0"
"DESKTOP-64-EDR","100265","Aug 06, 2025, 6:29:56 PM","834.0"
"DESKTOP-64-EDR","100225","Aug 06, 2025, 6:29:56 PM","832.0"
"DESKTOP-64-EDR","100215","Aug 06, 2025, 6:29:56 PM","775.0"
"DESKTOP-64-EDR","100218","Aug 06, 2025, 6:29:56 PM","769.0"
"192.168.153.166","100119","Aug 06, 2025, 6:29:56 PM","675.0"
"192.168.153.166","100273","Aug 06, 2025, 6:30:00 PM","670.0"
"DESKTOP-64-EDR","100272","Aug 06, 2025, 6:29:56 PM","423.0"
"N/A","100215","Aug 06, 2025, 6:30:10 PM","365.0"
"DESKTOP-64-EDR","100276","Aug 06, 2025, 6:29:56 PM","358.0"
"DESKTOP-64-EDR","100560","Aug 06, 2025, 6:29:56 PM","304.0"
"DESKTOP-64-EDR","100601","Aug 06, 2025, 6:29:56 PM","304.0"
"DESKTOP-64-EDR","100702","Aug 06, 2025, 6:29:57 PM","68.0"
"DESKTOP-64-EDR","100103","Aug 06, 2025, 6:30:04 PM","65.0"
"DESKTOP-64-EDR","100395","Aug 06, 2025, 6:30:04 PM","65.0"
"DESKTOP-64-EDR","100425","Aug 06, 2025, 6:30:00 PM","64.0"
"DESKTOP-64-EDR","100216","Aug 06, 2025, 6:30:04 PM","57.0"
"DESKTOP-64-EDR","100297","Aug 06, 2025, 6:30:04 PM","57.0"
"DESKTOP-64-EDR","100030","Aug 06, 2025, 6:30:04 PM","48.0"
"DESKTOP-64-EDR","100717","Aug 06, 2025, 6:30:03 PM","26.0"
"N/A","100223","Aug 06, 2025, 6:32:36 PM","24.0"
"N/A","100217","Aug 06, 2025, 6:44:41 PM","22.0"
"DESKTOP-64-EDR","100277","Aug 06, 2025, 6:32:29 PM","14.0"
"N/A","100271","Aug 06, 2025, 6:41:26 PM","12.0"
"DESKTOP-64-EDR","100101","Aug 06, 2025, 6:32:29 PM","12.0"
"DESKTOP-64-EDR","100013","Aug 06, 2025, 6:32:29 PM","9.0"
"N/A","100225","Aug 06, 2025, 6:32:48 PM","6.0"
"DESKTOP-64-EDR","100196","Aug 06, 2025, 6:32:49 PM","6.0"
"DESKTOP-64-EDR","100223","Aug 06, 2025, 6:41:51 PM","2.0"
"DESKTOP-64-EDR","100217","Aug 06, 2025, 6:41:51 PM","2.0"
