sysmon_hostname (custom),Custom Rule,Log Source Time (Minimum),Count
"DESKTOP-64-EDR","100221","Jun 20, 2025, 2:18:17 PM","857.0"
"DESKTOP-64-EDR","100227","Jun 20, 2025, 2:18:17 PM","857.0"
"DESKTOP-64-EDR","100265","Jun 20, 2025, 2:18:17 PM","857.0"
"DESKTOP-64-EDR","100225","Jun 20, 2025, 2:18:17 PM","856.0"
"DESKTOP-64-EDR","100215","Jun 20, 2025, 2:18:17 PM","816.0"
"DESKTOP-64-EDR","100218","Jun 20, 2025, 2:18:17 PM","776.0"
"DESKTOP-64-EDR","100272","Jun 20, 2025, 2:18:17 PM","569.0"
"DESKTOP-64-EDR","100276","Jun 20, 2025, 2:18:17 PM","488.0"
"DESKTOP-64-EDR","100560","Jun 20, 2025, 2:18:17 PM","424.0"
"DESKTOP-64-EDR","100601","Jun 20, 2025, 2:18:17 PM","424.0"
"192.168.153.166","100265","Jun 20, 2025, 2:18:19 PM","109.0"
"192.168.153.166","100218","Jun 20, 2025, 2:18:19 PM","109.0"
"192.168.153.166","100221","Jun 20, 2025, 2:18:19 PM","109.0"
"192.168.153.166","100225","Jun 20, 2025, 2:18:19 PM","109.0"
"192.168.153.166","100215","Jun 20, 2025, 2:18:19 PM","109.0"
"192.168.153.166","100227","Jun 20, 2025, 2:18:19 PM","109.0"
"DESKTOP-64-EDR","100103","Jun 20, 2025, 2:18:17 PM","81.0"
"DESKTOP-64-EDR","100395","Jun 20, 2025, 2:18:17 PM","81.0"
"DESKTOP-64-EDR","100297","Jun 20, 2025, 2:18:17 PM","78.0"
"DESKTOP-64-EDR","100030","Jun 20, 2025, 2:18:17 PM","70.0"
"192.168.153.166","100272","Jun 20, 2025, 2:18:19 PM","64.0"
"N/A","100221","Jun 20, 2025, 2:18:53 PM","57.0"
"N/A","100227","Jun 20, 2025, 2:18:53 PM","57.0"
"N/A","100215","Jun 20, 2025, 2:20:08 PM","55.0"
"192.168.153.166","100005","Jun 20, 2025, 2:18:19 PM","54.0"
"DESKTOP-64-EDR","100216","Jun 20, 2025, 2:18:17 PM","40.0"
"192.168.153.166","100119","Jun 20, 2025, 2:18:19 PM","23.0"
"DESKTOP-64-EDR","100277","Jun 20, 2025, 2:18:17 PM","19.0"
"DESKTOP-64-EDR","100101","Jun 20, 2025, 2:18:17 PM","18.0"
"192.168.153.166","100273","Jun 20, 2025, 2:21:26 PM","10.0"
"DESKTOP-64-EDR","100702","Jun 20, 2025, 2:18:24 PM","5.0"
"DESKTOP-64-EDR","100013","Jun 20, 2025, 2:18:33 PM","4.0"
"N/A","100101","Jun 20, 2025, 2:18:53 PM","2.0"
"N/A","100223","Jun 20, 2025, 2:18:53 PM","2.0"
"N/A","100225","Jun 20, 2025, 2:23:03 PM","2.0"
"N/A","100272","Jun 20, 2025, 2:18:53 PM","2.0"
"N/A","100277","Jun 20, 2025, 2:18:53 PM","2.0"
"DESKTOP-64-EDR","100196","Jun 20, 2025, 2:23:05 PM","2.0"
"DESKTOP-64-EDR","100607","Jun 20, 2025, 2:18:21 PM","1.0"
"DESKTOP-64-EDR","100223","Jun 20, 2025, 2:18:29 PM","1.0"
"DESKTOP-64-EDR","100217","Jun 20, 2025, 2:18:29 PM","1.0"
"DESKTOP-64-EDR","100425","Jun 20, 2025, 2:18:21 PM","1.0"
