sysmon_hostname (custom),Custom Rule,Log Source Time (Minimum),Count
"N/A","100227","Jul 30, 2025, 4:38:34 PM","56848.0"
"N/A","100221","Jul 30, 2025, 4:38:34 PM","56848.0"
"N/A","100272","Jul 30, 2025, 4:38:34 PM","56752.0"
"N/A","100277","Jul 30, 2025, 4:38:34 PM","56749.0"
"N/A","100101","Jul 30, 2025, 4:38:34 PM","56427.0"
"N/A","100216","Jul 30, 2025, 4:38:34 PM","56426.0"
"DESKTOP-64-EDR","100227","Jul 29, 2025, 5:34:47 PM","2566.0"
"DESKTOP-64-EDR","100221","Jul 29, 2025, 5:34:47 PM","2566.0"
"DESKTOP-64-EDR","100265","Jul 29, 2025, 5:34:47 PM","2565.0"
"DESKTOP-64-EDR","100225","Jul 29, 2025, 5:34:47 PM","2559.0"
"DESKTOP-64-EDR","100215","Jul 29, 2025, 5:34:47 PM","2317.0"
"DESKTOP-64-EDR","100218","Jul 29, 2025, 5:34:47 PM","2278.0"
"DESKTOP-64-EDR","100272","Jul 29, 2025, 5:34:53 PM","918.0"
"DESKTOP-64-EDR","100276","Jul 29, 2025, 5:34:53 PM","597.0"
"DESKTOP-64-EDR","100601","Jul 30, 2025, 4:39:44 PM","508.0"
"DESKTOP-64-EDR","100560","Jul 30, 2025, 4:39:51 PM","505.0"
"192.168.153.166","100227","Jul 29, 2025, 5:34:47 PM","445.0"
"192.168.153.166","100215","Jul 29, 2025, 5:34:47 PM","445.0"
"192.168.153.166","100225","Jul 29, 2025, 5:34:47 PM","445.0"
"192.168.153.166","100221","Jul 29, 2025, 5:34:47 PM","445.0"
"192.168.153.166","100218","Jul 29, 2025, 5:34:47 PM","445.0"
"192.168.153.166","100265","Jul 29, 2025, 5:34:47 PM","445.0"
"N/A","100223","Jul 30, 2025, 4:38:40 PM","323.0"
"N/A","100217","Jul 30, 2025, 4:38:40 PM","322.0"
"DESKTOP-64-EDR","100395","Jul 30, 2025, 4:39:43 PM","319.0"
"DESKTOP-64-EDR","100103","Jul 30, 2025, 4:39:43 PM","319.0"
"DESKTOP-64-EDR","100297","Jul 30, 2025, 4:39:44 PM","244.0"
"DESKTOP-64-EDR","100216","Jul 30, 2025, 4:39:43 PM","243.0"
"DESKTOP-64-EDR","100030","Jul 30, 2025, 4:39:44 PM","181.0"
"DESKTOP-64-EDR","100702","Jul 29, 2025, 5:34:57 PM","101.0"
"N/A","100215","Jul 30, 2025, 4:38:55 PM","99.0"
"192.168.153.166","100272","Jul 29, 2025, 5:34:47 PM","71.0"
"DESKTOP-64-EDR","100013","Jul 30, 2025, 4:39:56 PM","55.0"
"192.168.153.166","100005","Jul 29, 2025, 5:34:47 PM","54.0"
"DESKTOP-64-EDR","100277","Jul 30, 2025, 4:39:43 PM","48.0"
"DESKTOP-64-EDR","100101","Jul 30, 2025, 4:39:43 PM","44.0"
"192.168.153.166","100119","Jul 29, 2025, 5:34:47 PM","24.0"
"DESKTOP-64-EDR","100298","Jul 30, 2025, 4:39:56 PM","16.0"
"DESKTOP-64-EDR","100032","Jul 30, 2025, 4:39:56 PM","16.0"
"192.168.153.166","100273","Jul 30, 2025, 4:41:27 PM","14.0"
"DESKTOP-64-EDR","100425","Jul 30, 2025, 4:40:27 PM","8.0"
"DESKTOP-64-EDR","100223","Jul 30, 2025, 4:39:43 PM","6.0"
"N/A","100225","Jul 30, 2025, 4:39:44 PM","6.0"
"DESKTOP-64-EDR","100217","Jul 30, 2025, 4:39:43 PM","4.0"
