sysmon_hostname (custom),Custom Rule,Log Source Time (Minimum),Count
"DESKTOP-64-EDR","100221","Jun 20, 2025, 2:59:53 PM","4908.0"
"DESKTOP-64-EDR","100227","Jun 20, 2025, 2:59:53 PM","4908.0"
"DESKTOP-64-EDR","100265","Jun 20, 2025, 2:59:53 PM","4907.0"
"DESKTOP-64-EDR","100225","Jun 20, 2025, 2:59:53 PM","4905.0"
"DESKTOP-64-EDR","100215","Jun 20, 2025, 2:59:53 PM","4872.0"
"DESKTOP-64-EDR","100218","Jun 20, 2025, 2:59:53 PM","2497.0"
"DESKTOP-64-EDR","100272","Jun 20, 2025, 2:59:53 PM","2470.0"
"DESKTOP-64-EDR","100103","Jun 20, 2025, 2:59:53 PM","2411.0"
"DESKTOP-64-EDR","100395","Jun 20, 2025, 2:59:53 PM","2411.0"
"DESKTOP-64-EDR","100297","Jun 20, 2025, 2:59:53 PM","2402.0"
"DESKTOP-64-EDR","100030","Jun 20, 2025, 2:59:53 PM","2394.0"
"192.168.153.166","100265","Jun 20, 2025, 3:00:40 PM","195.0"
"192.168.153.166","100218","Jun 20, 2025, 3:00:40 PM","195.0"
"192.168.153.166","100221","Jun 20, 2025, 3:00:40 PM","195.0"
"192.168.153.166","100225","Jun 20, 2025, 3:00:40 PM","195.0"
"192.168.153.166","100215","Jun 20, 2025, 3:00:40 PM","195.0"
"192.168.153.166","100227","Jun 20, 2025, 3:00:40 PM","195.0"
"192.168.153.166","100272","Jun 20, 2025, 3:00:40 PM","166.0"
"192.168.153.166","100005","Jun 20, 2025, 3:00:40 PM","114.0"
"N/A","100221","Jun 20, 2025, 3:00:30 PM","69.0"
"N/A","100227","Jun 20, 2025, 3:00:30 PM","69.0"
"N/A","100215","Jun 20, 2025, 3:00:30 PM","67.0"
"DESKTOP-64-EDR","100276","Jun 20, 2025, 3:00:40 PM","59.0"
"DESKTOP-64-EDR","100560","Jun 20, 2025, 3:00:40 PM","58.0"
"DESKTOP-64-EDR","100601","Jun 20, 2025, 3:00:40 PM","58.0"
"192.168.153.166","100273","Jun 20, 2025, 3:01:26 PM","52.0"
"192.168.153.166","100119","Jun 20, 2025, 3:00:40 PM","47.0"
"DESKTOP-64-EDR","100216","Jun 20, 2025, 3:02:54 PM","33.0"
"DESKTOP-64-EDR","100702","Jun 20, 2025, 3:01:20 PM","18.0"
"DESKTOP-64-EDR","100277","Jun 20, 2025, 3:02:54 PM","17.0"
"DESKTOP-64-EDR","100101","Jun 20, 2025, 3:02:54 PM","14.0"
"N/A","100225","Jun 20, 2025, 3:02:09 PM","8.0"
"DESKTOP-64-EDR","100013","Jun 20, 2025, 3:06:22 PM","8.0"
"DESKTOP-64-EDR","100196","Jun 20, 2025, 3:03:09 PM","6.0"
"N/A","100272","Jun 20, 2025, 3:02:09 PM","4.0"
"DESKTOP-64-EDR","100425","Jun 20, 2025, 3:02:03 PM","4.0"
"DESKTOP-64-EDR","100223","Jun 20, 2025, 3:06:49 PM","3.0"
"DESKTOP-64-EDR","100217","Jun 20, 2025, 3:06:49 PM","3.0"
"N/A","100101","Jun 20, 2025, 3:06:58 PM","2.0"
"N/A","100104","Jun 20, 2025, 3:02:09 PM","2.0"
"N/A","100218","Jun 20, 2025, 3:02:09 PM","2.0"
"N/A","100223","Jun 20, 2025, 3:06:58 PM","2.0"
"N/A","100277","Jun 20, 2025, 3:06:58 PM","2.0"
"DESKTOP-64-EDR","100633","Jun 20, 2025, 3:02:03 PM","2.0"
"N/A","100518","Jun 20, 2025, 3:02:09 PM","1.0"
"N/A","100520","Jun 20, 2025, 3:02:09 PM","1.0"
"DESKTOP-64-EDR","100518","Jun 20, 2025, 3:02:03 PM","1.0"
"DESKTOP-64-EDR","100520","Jun 20, 2025, 3:02:03 PM","1.0"
"DESKTOP-64-EDR","100625","Jun 20, 2025, 3:02:03 PM","1.0"
"DESKTOP-64-EDR","100630","Jun 20, 2025, 3:02:03 PM","1.0"
